タイトル,アーティスト,作品名,ジャンル,リンク
Re:Re:,ASIAN KUNG-FU GENERATION,僕だけがいない街,アニソン、邦ロック,
Ready Steady GO!,水瀬いのり,,声優,
READY!!,765PRO ALLSTARS,THE IDOLM@STER,アイマス,
Ready!! Steady!! Derby!!,ジャングルポケット、アグネスタキオン、マンハッタンカフェ、ダンツフレーム,ウマ娘 プリティーダービー 新時代の扉,ウマ娘,
Reason!!,315 STARS,アイドルマスター SideM,アイマス,
Recall THE END,TRUSTRICK,ダンガンロンパ3 -The End of 希望ヶ峰学園-,アニソン,
ReSTARTHING!!,愛美,,声優,
ROCK ME KISS ME feat. MOTSU,芹澤優,MFゴースト,アニソン,
ROCK OVER JAPAN,トリプルH,輪るピングドラム,アニソン,
Rockin' Emotion,木村夏樹 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Rolling star,YUI,BLEACH,アニソン,
Romantic Now,赤城みりあ ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Rough&Laugh,クラムボン,しろくまカフェ,アニソン,
RUNNING IN THE 90'S,Max Coveri,頭文字D,洋楽、アニソン,
S.O.W. センスオブワンダー,アイドリング!!!,FAIRY TAIL,アニソン、アイドル,
S.S,パスピエ,,邦ロック,
S(mile)ING!,島村卯月,アイドルマスター シンデレラガールズ,アイマス、デレマス,
SAKURA,WITCH NUMBER 4,Tokyo 7th シスターズ,ナナシス,
SAKURA,いきものがかり,,J-POP,
secret base 〜君がくれたもの〜,ZONE,あの日見た花の名前を僕達はまだ知らない。,邦ロック、アニソン,
Secret Story of the Swan,IZ*ONE,,K-POP,
Sequence,IZ*ONE,,K-POP,
sesame,Kroi,ぶっちぎり？！,邦ロック,
SEVENTH HAVEN,セブンシスターズ,Tokyo 7th シスターズ,ナナシス,
shabon song,小日向美穂、城ヶ崎美嘉、相葉夕美、上条春菜、赤城みりあ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Shake It Off,Taylor Swift,,洋楽,
Shibuya Marble Texture -PCCS-,Fling Posse（飴村乱数＆夢野幻太郎＆有栖川帝統）,ヒプノシスマイク -Division Rap Battle-,アニソン、J-POP,
Shine In The Sky☆,U149、橘ありす 、櫻井桃華 、赤城みりあ 、的場梨沙 、結城晴 、佐々木千枝 、龍崎薫 、市原仁奈、古賀小春,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Shine!!,CINDERELLA PROJECT,アイドルマスター シンデレラガールズ,アイマス、デレマス,
SHINING☆STAR,9nine,STAR DRIVER 輝きのタクト,アニソン、アイドル,
Shiny Ray,YURiKA,リトルウィッチアカデミア,アニソン,
Shout Baby,緑黄色社会,僕のヒーローアカデミア,邦ロック、アニソン,
SIGNAL,TWICE,,K-POP,
Signalize!,わか・ふうり・すなお・りすこ from STAR☆ANIS,アイカツ！,アニソン,
Singing!,放課後ティータイム,けいおん！,アニソン,
skirt,aiko,アポカリプスホテル,アニソン、J-POP,
SMARTPHONE -JAPANESE VER.-,YENA,,K-POP,
Smile Again,9nine,,アイドル,
SMILEY (feat. BIBI),YENA,,K-POP,
SMILY,大塚愛,,J-POP,
SMOKY THRILL,竜宮小町,THE IDOLM@STER,アイマス,
Snow fairy,FUNKIST,FAIRY TAIL,アニソン,
Snow halation,μ's,ラブライブ！,ラブライブ！,
"Snow in ""I love you""",777☆SISTERS,Tokyo 7th シスターズ,ナナシス,
Snow Wings,島村卯月、渋谷凛、本田未央、大槻唯、上条春菜,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Snow＊Love,市原仁奈、及川雫、大槻唯、高森藍子、依田芳乃,アイドルマスター シンデレラガールズ,アイマス、デレマス,
So☆Lucky,小倉唯,スライム倒して300年、知らないうちにレベルMAXになってました 〜そのに〜,声優、アニソン,
soldier game,西木野真姫、園田海未、絢瀬絵里,ラブライブ！,ラブライブ！,
SOMEONE ELSE,種島ぽぷら＆伊波まひる＆轟八千代,WORKING!!,アニソン,
Something That I Want,Grace Potter,塔の上のラプンツェル,洋楽、ディズニー,
SOS,黛冬優子,シャイニーカラーズ,アイマス,
SOUVENIR,BUMP OF CHICKEN,SPY×FAMILY,邦ロック、アニソン,
SPACESHIP,IZ*ONE,,K-POP,
Sparklez Time!!,セブンシスターズ,Tokyo 7th シスターズ,ナナシス,
Sparkling Daydream,ZAQ,中二病でも恋がしたい！,アニソン,
SPLASH FREE,STYLE FIVE,Free!,アニソン,
SPY,上坂すみれ,,声優,
Stage Bye Stage,島村卯月、渋谷凛、本田未央,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Stand By You,Official髭男dism,,邦ロック,
Star!!,CINDERELLA PROJECT,アイドルマスター シンデレラガールズ,アイマス、デレマス,
STAR☆T☆RAIN,B小町,【推しの子】,アニソン、アイドル,
STARLIGHT CELEBRATE!,DRAMATIC STARS,アイドルマスター SideM,アイマス,
Starry-Go-Round,前川みく、大槻唯、アナスタシア、姫川友紀、二宮飛鳥,アイドルマスター シンデレラガールズ,アイマス、デレマス,
START:DASH!!,μ's,ラブライブ！,ラブライブ！,
Starz Glitter,セブンシスターズ,Tokyo 7th シスターズ,ナナシス,
STAY&GOLD,777☆SISTERS,Tokyo 7th シスターズ,ナナシス,
STEP,ClariS,ニセコイ,アニソン,
Step and a step,NiziU,,J-POP,
STORY,渋谷凛、島村卯月、本田未央、神谷奈緒、北条加蓮,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Study Equal Magic!,S.E.M,アイドルマスター SideM,アイマス,
SUGAO-flavor,月島きらり starring 久住小春,きらりん☆レボリューション,ハロプロ、アイドル,
SUMMER SONG,YUI,,J-POP,
SUN,星野源,心がポキッとね,J-POP、ドラマ,
Sun! High! Gold!,城ヶ崎美嘉、本田未央、片桐早苗、佐藤心、諸星きらり,アイドルマスター シンデレラガールズ,アイマス、デレマス,
SUN♡FLOWER,本田未央、片桐早苗、佐藤心、城ヶ崎美嘉、諸星きらり,アイドルマスター シンデレラガールズ,アイマス、デレマス,
SUSHI食べたい feat.ソイソース,ORANGE RANGE,,J-POP,
sweet&sweet CHERRY,堀江由衣,ゴールデンタイム,声優、アニソン,
sweet&sweet holiday,Printemps,ラブライブ！,ラブライブ！,
Switch On My Heart,天宮りずむ（CV:原紗友里）,プリティーリズム・オーロラドリーム,アニソン,
TAIDADA,ずっと真夜中でいいのに。,ダンダダン,J-POP、アニソン,
TAKAMARI☆CLIMAXXX!!!!!,喜多日菜子、喜多見柚、南条光、日野茜、姫川友紀,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Take a picture,NiziU,,J-POP,
Take me☆Take you,THE IDOLM@STER CINDERELLA GIRLS!!,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Tame-Lie-One-Step,初星学園,学園アイドルマスター,アイマス、学マス,
Teeenage☆Groovin',喜多見柚、椎名法子、棟方愛海,アイドルマスター シンデレラガールズ,アイマス、デレマス,
TEST ME,ちゃんみな,【推しの子】,J-POP、アニソン,
The Girls Are Alright!,sayuri,宇宙よりも遠い場所,アニソン,
The Rock City Boy,JAMIL,FAIRY TAIL,アニソン,
The Rolling Riceball,初星学園,学園アイドルマスター,アイマス、学マス,
THE VILLAIN'S NIGHT,関裕美、赤城みりあ、櫻井桃華、相葉夕美、宮本フレデリカ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
The♡World's♡End,堀江由衣,ゴールデンタイム,声優、アニソン,
Tick-Tack,ILLIT,,K-POP,
Tiny Light,鬼頭明里,地縛少年花子くん,アニソン、声優,
To my darling...,輿水幸子,アイドルマスター シンデレラガールズ,アイマス、デレマス,
TOKIMEKIエスカレート,城ヶ崎美嘉 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Touch off,UVERworld,約束のネバーランド,アニソン、邦ロック,
Trancing Pulse,Triad Primus、渋谷凛、神谷奈緒、北条加蓮,アイドルマスター シンデレラガールズ,アイマス、デレマス,
transforming,イレンススズカ、アグネスタキオン,ウマ娘 プリティーダービー,ウマ娘,
TREAT OR TREAT?,4U,Tokyo 7th シスターズ,ナナシス,
Trinity Field,Triad Primus、渋谷凛、神谷奈緒、北条加蓮,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Troublemaker,嵐,特上カバチ!!,J-POP、アイドル,
TRUE COLORS,城ヶ崎美嘉、高森藍子、アナスタシア、藤原肇、乙倉悠貴、黒埼ちひろ、白雪千夜、久川凪、久川颯,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Trust me,安部菜々、本田未央、北条加蓮、鷹富士茄子、鷺沢文香、一ノ瀬志希、佐久間まゆ、南条光、喜多見柚,アイドルマスター シンデレラガールズ,アイマス、デレマス,
TT,TWICE,,K-POP,
Tulip,LiPPS 、一ノ瀬志希、塩見周子、速水奏、宮本フレデリカ、城ヶ崎美嘉,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Twilight Sky,多田李衣菜 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
TWILIGHT!!!,King Gnu,,邦ロック,
Twin☆くるっ★テール,ファミリアツイン 、城ヶ崎美嘉、城ヶ崎莉嘉,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Twinkling star,星降そそぐ（CV.小倉唯）,ポプテピピック,アニソン,
U.M.A. NEW WORLD!!,スペシャルウィーク、オグリキャップ、ゴールドシップ、ナリタブライアン、タマモクロス、マンハッタンカフェ、アグネスタキオン、サトノダイヤモンド、キタサンブラック,ウマ娘 プリティーダービー,ウマ娘,
U&I,放課後ティータイム,けいおん！,アニソン,
UFO,ピンク・レディー,,J-POP、昭和,
UNDEAD,YOASOBI,〈物語〉シリーズ オフ&モンスターシーズン,J-POP、アニソン,
Utauyo!!MIRACLE,放課後ティータイム,けいおん！,アニソン,
VOICE,ZAQ,中二病でも恋がしたい！,アニソン,
VOICE,Perfume,,J-POP,
VOY@GER,THE IDOLM@STER FIVE STARS!!!!!,アイドルマスターシリーズ,アイマス,
W.W.D,でんぱ組.inc,,J-POP、アイドル,
Watch me!,YOASOBI,ウィッチウォッチ,J-POP,
We Are Never Ever Getting Back Together,Taylor Swift,,洋楽,
We Are the World,USA for Africa,,洋楽,
We're the friends!,渋谷凛、鷺沢文香、高垣楓、安部菜々、緒方智絵里、島村卯月、本田未央、高森藍子、姫川友紀,アイドルマスター シンデレラガールズ,アイマス、デレマス,
We’re the stars,愛美,FAIRY TAIL,アニソン,
What is LOVE?,モーニング娘。,,ハロプロ、アイドル,
What is Love?,TWICE,,K-POP,
WHEN CAN I SEE YOU AGAIN?,Owl City,シュガー・ラッシュ,洋楽、ディズニー,
White Wishes,9nine,となりの怪物くん,アニソン、アイドル,
Why don't you RELAX?,9nine,,アニソン,
Winning Day,KARAKURI,Tokyo 7th シスターズ,ナナシス,
winning the soul,トウカイテイオー、メジロマックイーン、オグリキャップ、シンボリルドルフ、タマモクロス、ビワハヤヒデ、ナリタブライアン,ウマ娘 プリティーダービー,ウマ娘,
WINTER and WINDOW,イヴ・サンタクロース、一ノ瀬志希、高森藍子、高垣楓、久川颯,アイドルマスター シンデレラガールズ,アイマス、デレマス,
Wish you Happiness!!,辻野あかり、小早川紗枝、安部菜々、新田美波、ナターリア、塩見周子、浜口あやめ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
With Love,五十嵐響子、乙倉悠貴、水本ゆかり、諸星きらり、姫川友紀,アイドルマスター シンデレラガールズ,アイマス、デレマス,
With You/With Me,9nine,マギ ,アニソン、アイドル,
Wonder zone,μ's,ラブライブ！,ラブライブ！,
Wonderful Rush,μ's,ラブライブ！,ラブライブ！,
X次元へようこそ,やくしまるえつこ,スペース☆ダンディ,アニソン,
YELLOW,Le☆S☆Ca,Tokyo 7th シスターズ,ナナシス,
YES or YES,TWICE,,K-POP,
Yes! Party Time!!,島村卯月、渋谷凛、本田未央、赤城みりあ、安部菜々,アイドルマスター シンデレラガールズ,アイマス、デレマス,
YES/NO,パスピエ,,邦ロック,
Yokohama Walker,MAD TRIGGER CREW（碧棺左馬刻＆入間銃兎＆毒島メイソン理鶯）,ヒプノシスマイク -Division Rap Battle-,アニソン、J-POP,
You Belong With Me,Taylor Swift,,洋楽,
You Can't Win,NI+CORA,Tokyo 7th シスターズ,ナナシス,
You make me happy!,林桃子,フレッシュプリキュア!,アニソン、プリキュア,
You May Dream,LISP,プリティーリズム・オーロラドリーム,アニソン,
You're stars shine on me,アナスタシア (CV: 上坂すみれ),アイドルマスター シンデレラガールズ,アイマス、デレマス,
You&Me,紗希,しろくまカフェ,アニソン,
ZERO!!,栗林みな実,はたらく魔王さま!,アニソン,
ZOOっと、ね♪,常勤パンダさん (CV.小西克幸),しろくまカフェ,アニソン,
ZORORO ROCK!!!,ヤバイTシャツ屋さん,かいけつゾロリ,邦ロック、アニソン,
Zzz,佐咲紗花,日常,アニソン,
Z女戦争,ももいろクローバーZ,,J-POP、アイドル,
Z伝説〜終わりなき革命〜,ももいろクローバーZ,,J-POP、アイドル,
あ・の・ね・が・ん・ば・れ!,lily white,ラブライブ！,ラブライブ！,
あぁいいな！,W(ダブルユー),ドラえもん,ハロプロ、アイドル,
あゝオオサカdreamin'night,どついたれ本舗（白膠木簓＆躑躅森盧笙＆天谷奴零）,ヒプノシスマイク -Division Rap Battle-,アニソン、J-POP,
アイウエ feat. 美波 SAKURAmoti,MAISONdes,うる星やつら,アニソン,
あいがたりない,バーチャルリアル,,VTuber・Vsinger,
あいくるしい,佐久間まゆ、小早川紗枝、水本ゆかり、三村かな子、速水奏,アイドルマスター シンデレラガールズ,アイマス、デレマス,
アイコトバ,Ci+LUS,Tokyo 7th シスターズ,ナナシス,
アイタリナイ feat. yama ニト。,MAISONdes,うる星やつら,アニソン,
アイデンティティ,サカナクション,,邦ロック,
アイドル,YOASOBI,【推しの子】,J-POP、アニソン,
アイのシナリオ,CHiCO with HoneyWorks,まじっく快斗1412,アニソン,
アイノヨカン,神のみぞ知り隊,神のみぞ知るセカイ,アニソン,
アイム・ア・リトル・プリンセス ～お星さまにお願い～,古賀小春 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
アイワナムチュー feat. asmi すりぃ,MAISONdes,うる星やつら,アニソン,
アウターモスト -超自然恋愛-,上坂すみれ,,声優,
アオとキラメキ,スピラ・スピカ,その着せ替え人形は恋をする,アニソン,
アカシア,BUMP OF CHICKEN,ポケモン,邦ロック,
あきの日,パスピエ,,邦ロック,
アジアン,パスピエ,,邦ロック,
あじゃぱー,ゾロリ（CV.山寺宏一）with イシシ（CV.愛河里花子）ノシシ（CV.くまいもとこ）,かいけつゾロリ,アニソン,
アタシのドレス,ねぐせ。,メダリスト,邦ロック,
アタシポンコツアンドロイド,双葉杏、前川みく、島村卯月、小日向美穂、安部菜々,アイドルマスター シンデレラガールズ,アイマス、デレマス,
あたしを彼女にしたいなら,コレサワ,,J-POP,
あっちでこっちで,あっちこっち,あっちこっち,アニソン,
アッパレ♪Mahara★Japaaan!,セクシーギルティ、堀裕子、片桐早苗、及川雫,アイドルマスター シンデレラガールズ,アイマス、デレマス,
アップルパイ・プリンセス,十時愛梨 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
アドベンチャー,YOASOBI,ユニバーサル・スタジオ・ジャパン,J-POP,
アナタボシ,MilkyWay,きらりん☆レボリューション,ハロプロ、アイドル,
あの子が街に来なサンタ,イヴ・サンタクロース,アイドルマスター シンデレラガールズ,アイマス、デレマス,
あの子シークレット,Eve,,J-POP,
アユミ☆マジカルショータイム,キノシタ,,ボカロ,
ありふれた悲しみの果て,絢瀬絵里,ラブライブ！,ラブライブ！,
あんきら！？狂騒曲,HappyHappyTwin 、双葉杏、諸星きらり,アイドルマスター シンデレラガールズ,アイマス、デレマス,
アンサー,パスピエ,,邦ロック,
あんずのうた,双葉杏 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
アンダー・ザ・シー,Samuel E. Wright,リトル・マーメイド,ディズニー,
アンチテーゼ・エスケイプ,上坂すみれ,URAHARA,声優、アニソン,
アンパンマンたいそう,ドリーミング,それいけ!アンパンマン,アニソン,
アンパンマンのマーチ,ドリーミング,それいけ!アンパンマン,アニソン,
イ・カ・ア・イ・ス 食 べ な イ カ?,イカ娘 (CV.金元寿子),侵略!イカ娘,アニソン,
イーアル！キョンシー feat.好好！キョンシーガール,9nine,好好！キョンシーガール,アイドル、ドラマ,
いーあるふぁんくらぶ,みきとP,,ボカロ,
イーリャンサンキュー,天真飯店、中野有香、三村かな子、大和亜季、前川みく、久川凪,アイドルマスター シンデレラガールズ,アイマス、デレマス,
イエイ！イエイ！イエイ！,吉田仁美,スマイルプリキュア!,アニソン、プリキュア,
いぇす！ゆゆゆ☆ゆるゆり♪♪,七森中☆ごらく部,ゆるゆり,アニソン,
イガク,原口沙輔,,ボカロ,
いける、いける！,9nine,,アイドル,
イシュカンコミニュケーション,ちょろゴンず,小林さんちのメイドラゴン,アニソン,
いちごパフェが止まらない,放課後ティータイム,けいおん！,アニソン,
イチブトゼンブ,B'z,ブザー・ビート,ドラマ、J-POP,
いつかの、いくつかのきみとのせかい,fhána,僕らはみんな河合荘,アニソン,
いつか王子様が,アドリアナ・カセロッティ,白雪姫,ディズニー,
いとしーさー♥,輿水幸子、多田李衣菜、藤原肇、水瀬伊織、森久保乃々,アイドルマスター シンデレラガールズ,アイマス、デレマス,
イリュージョニスタ！,本田未央、佐久間まゆ、鷺沢文香、輿水幸子、新田美波,アイドルマスター シンデレラガールズ,アイマス、デレマス,
インキャインパルス,本田華子＆オリヴィア＆野村香純,あそびあそばせ,アニソン,
イントゥ・ジ・アンノウン,松たか子 / Idina Menzel,アナと雪の女王,ディズニー,
インフェルノ,Mrs. GREEN APPLE,炎炎ノ消防隊,邦ロック、アニソン,
インベーダーインベーダー,きゃりーぱみゅぱみゅ,,J-POP,
ヴァンパイア,DECO*27,,ボカロ,
ヴィーナスシンドローム,新田美波 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
ヴィーナスとジーザス,やくしまるえつこ,荒川アンダー ザ ブリッジ,アニソン,
ウィッチ☆アクティビティ,KMM団,ウィッチクラフトワークス,アニソン,
ウィンターマジック,KARA,,K-POP,
うい麦畑でつかまえて,しぐれうい,,VTuber・Vsinger,
ウエサカダイナミック,上坂すみれ,,声優,
うえるかむ・はぴきらパーク！,もふもふえん,アイドルマスター SideM,アイマス,
うたたねサンシャイン,Unlimited tone,田中くんはいつもけだるげ,アニソン,
ウマすぎ！グルメパレード,ペシャルウィーク、ミホノブルボン、ヒシアケボノ、ライスシャワー、ニシノフラワー、ビコーペガサス、シュヴァルグラン、カツラギエース、ヒシミラクル、シーザリオ,ウマ娘 プリティーダービー,ウマ娘,
うまぴょい伝説,スペシャルウィーク、サイレンススズカ、トウカイテイオー,ウマ娘 プリティーダービー,ウマ娘,
うまるん体操,妹S（シスターズ）,干物妹！うまるちゃん,アニソン,
ウラオモテフォーチュン,佐倉千代（CV.小澤亜李）,月刊少女野崎くん,アニソン,
うるとらみらくるふぁいなるアルティメットチョコびーむ,わーすた,,J-POP、アイドル,
ウン・ポコ・ロコ,石橋陽彩,リメンバー・ミー,ディズニー,
エヴリデイドリーム,佐久間まゆ ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
エウレカベイビー,麻生夏子,バカとテストと召喚獣にっ!,アニソン,
エガオノマホウ,Magic Party,FAIRY TAIL,アニソン,
エレクトリック・パブリック,ポルカドットスティングレイ,,邦ロック,
オ・モ・イアプローチ,NI+CORA,Tokyo 7th シスターズ,ナナシス,
オオカミハート,oresama,オオカミ少女と黒王子,アニソン、J-POP,
オーバーマスター,星井美希、我那覇響、四条貴音,THE IDOLM@STER,アイマス,
おかえり,絢香,絶対彼氏,ドラマ、J-POP,
おとせサンダー,ぼっちぼろまる,,J-POP,
オトナモード,りすこ・もな from AIKATSU☆STARS!,アイカツ！,アニソン,
オトノケ,Creepy Nuts,ダンダダン,J-POP、アニソン,
オトノナルホウヘ→,Goose house,銀の匙 Silver Spoon,J-POP,
オトメロディー,高橋美佳子,おねがいマイメロディ,アニソン、サンリオ,
おねえちゃんデスコ,市原仁奈 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
おねだり Shall We ～？,前川みく ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
おひるねゆにばーす,七森中☆ごらく部,ゆるゆり,アニソン,
オヤマトペ♪,棟方愛海 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
オリジナル。,TrySail,亜人ちゃんは語りたい,アニソン、声優,
オリジナルスター☆ミ,わか・ふうり・すなお・れみ・もえ・えり・ゆな・りすこ from STAR☆ANIS,アイカツ！,アニソン,
オレンジ days,9nine,,アイドル,
オレンジタイム,カワイイボクと142's 、輿水幸子、白坂小梅、星輝子,アイドルマスター シンデレラガールズ,アイマス、デレマス,
おんなじキモチ,東京女子流,はなかっぱ,アニソン、アイドル,
おんなの道は星の道,村上巴 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
オンリーワンダー,フレデリック,,邦ロック,
お願い！シンデレラ,THE IDOLM@STER CINDERELLA GIRLS,アイドルマスター シンデレラガールズ,アイマス、デレマス,
お願い☆My Boy,SiSH,Tokyo 7th シスターズ,ナナシス,
お願いダーリン,ナナホシ管弦楽団,,ボカロ,
お願いマッスル,紗倉ひびき&街雄鳴造,ダンベル何キロ持てる？,アニソン,
お散歩カメラ,高森藍子 ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
お料理行進曲,YUKA,キテレツ大百科,アニソン,
ガールズ・イン・ザ・フロンティア,渋谷凛、早坂美玲、木村夏樹、小日向美穂、塩見周子,アイドルマスター シンデレラガールズ,アイマス、デレマス,
がおちゅー♪さふぁりぱーく！,がおがおわんだぁ、市原仁奈、三船美優、及川雫、向井拓海,アイドルマスター シンデレラガールズ,アイマス、デレマス,
かくしん的☆めたまるふぉ〜ぜ,土間うまる（CV.田中あいみ）,干物妹！うまるちゃん,アニソン,
カチューシャ,ノンナ（CV：上坂すみれ）,ガールズ＆パンツァー,アニソン,
かなしいうれしい,フレデリック,恋と嘘,邦ロック,
カナリヤ,in NO hurry to shout;,覆面系ノイズ,アニソン,
カニ☆Do-Luck!,あいうらぶ(CV:中島唯&飯田友子&田村奈央),あいうら,アニソン,
カブトムシ,aiko,,J-POP,
かぼちゃ姫,白坂小梅、久川凪、関裕美、森久保乃々、依田芳乃,アイドルマスター シンデレラガールズ,アイマス、デレマス,
カミイロアワセ,binaria,ダンガンロンパ3 -The End of 希望ヶ峰学園-,アニソン,
ガラクタロード,初星学園,学園アイドルマスター,アイマス、学マス,
からくりピエロ,40mP,,ボカロ,
からっぽカプセル,内田真礼,アニソンで分かる心療内科,声優、アニソン,
カルマ,BUMP OF CHICKEN,テイルズ オブ ジ アビス,邦ロック,
カレーのちライス,放課後ティータイム,けいおん！,アニソン,
カレンダーガール,わか・ふうり・すなお from STAR☆ANIS,アイカツ！,アニソン,
カロン,ねごと,,J-POP、邦ロック,
かわいいだけじゃだめですか？,CUTIE STREET,,アイドル,
カワウソイヤァ,新星玲央（CV.木村昴）＆阿久津真武（CV.細谷佳樹）,さらざんまい,アニソン,
ガンバランスdeダンス,五條真由美,ふたりはプリキュア Splash Star,アニソン、プリキュア,
ガンバランスdeダンス～希望のリレー～,キュア・カルテット,Yes!プリキュア5GoGo!,アニソン、プリキュア,
ガンバランスdeダンス～夢見る奇跡たち〜,工藤真由,Yes!プリキュア5,アニソン、プリキュア,
カンパリーナ♡,Sherry 'n Cherry,アイドルマスターミリオンライブ！,アイマス,
き・ま・ぐ・れ☆Café au lait!,宮本フレデリカ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
ギー太に首ったけ,平沢唯(CV:豊崎愛生),けいおん！,アニソン,
キス・ザ・ガール,サミュエル・E・ライト,リトル・マーメイド,ディズニー,
ギターと孤独と蒼い惑星,結束バンド,ぼっち・ざ・ろっく！,アニソン,
キボウレインボウ,池田彩,スイートプリキュア♪,アニソン、プリキュア,
ギミー!レボリューション,内田真礼,俺、ツインテールになります。,声優、アニソン,
キミがくれたもの,工藤静香,FAIRY TAIL,アニソン,
ギミギミ,りぶ＆苺子＆譜風＆十景＆ゆき,真夜中ぱんチ,アニソン,
キミとセミブルー,初星学園,学園アイドルマスター,アイマス、学マス,
キミと夏フェス,SHISHAMO,,J-POP、邦ロック,
キミに100パーセント,きゃりーぱみゅぱみゅ,クレヨンしんちゃん,アニソン,
きみにいっぱい☆,姫川友紀、市原仁奈、片桐早苗、大槻唯、相葉夕美,アイドルマスター シンデレラガールズ,アイマス、デレマス,
キミのくせに!,lily white,ラブライブ！,ラブライブ！,
きみわずらい,まねきケチャ,,J-POP、アイドル,
キャラメル桃ジャム 120%,ピーチ・マキ（CV：上坂すみれ）,鬼灯の冷徹,アニソン,
ギュっとMilky Way,ドリームアウェイ 、佐久間まゆ、喜多日菜子,アイドルマスター シンデレラガールズ,アイマス、デレマス,
きゅん・きゅん・まっくす,一ノ瀬志希、乙倉悠貴、関裕美、多田李衣菜、水本ゆかり,アイドルマスター シンデレラガールズ,アイマス、デレマス,
きゅんっ!ヴァンパイアガール,765PRO ALLSTARS,THE IDOLM@STER,アイマス,
ギョーてん！しーわーるど！,まりんぱ、浅利七海、前川みく、市原仁奈、棟方愛海、龍崎薫,アイドルマスター シンデレラガールズ,アイマス、デレマス,
ギラギラ,Ado,,J-POP,https://youtu.be/sOiMD45QGLs?si=4ZIqUQhVsl1LkWMW
キラキラしちゃってMy True Love！,宮本佳那子,Yes!プリキュア5,アニソン、プリキュア,
キラキラの灰,リーガルリリー,ダンジョン飯,邦ロック、アニソン,
キラッ！満開スマイル,島村卯月、小日向美穂、佐久間まゆ、櫻井桃華、双葉杏,アイドルマスター シンデレラガールズ,アイマス、デレマス,
きらっとプリ☆チャン,Run Girls Run!,キラッとプリ☆チャン,アニソン、声優,
キラリ☆彡スター☆トゥインクルプリキュア,北川理恵,スター☆トゥインクルプリキュア,アニソン、プリキュア,
キルミーのベイベー!,やすなとソーニャ,キルミーベイベー,アニソン,
ギンガムチェック,AKB48,,J-POP、アイドル,
くちづけ Diamond,WEAVER,山田くんと7人の魔女,邦ロック、アニソン,
グピドゥレビュー,悠木碧,彼女、お借りします,声優,
クラクラ,Ado,SPY×FAMILY,アニソン、J-POP,https://www.youtube.com/watch?v=W_fHWaoQwkw
グランドエスケープ feat. 三浦透子,RADWIMPS,天気の子,邦ロック、アニソン,
クリスマスソング,back number,5→9〜私に恋したお坊さん〜,邦ロック,
グリズリーさんのG★ROCK,グリズリーさん (CV.中村悠一),しろくまカフェ,アニソン,
グリズリーに襲われたら♡,神宿,,J-POP、アイドル,
クレイジークレイジー,レイジー・レイジー 、一ノ瀬志希、宮本フレデリカ,アイドルマスター シンデレラガールズ,アイマス、デレマス,
クロイヒトミ,クルミ・ヌイ,おねがいマイメロディ,アニソン、サンリオ,
クロノスタシス,BUMP OF CHICKEN,名探偵コナン,邦ロック、アニソン,
クロミパンク’06,クロミ,おねがいマイメロディ,アニソン、サンリオ,
ゲッチュウ！らぶらぶう？！,五條真由美,ふたりはプリキュア,アニソン、プリキュア,
ケロッ!とマーチ,角田信朗＆えるな,ケロロ軍曹,アニソン,
げんし、女子は、たいようだった。,上坂すみれ,げんしけん二代目,声優、アニソン,
コイ♡クル,黒木マリナ,おねがいマイメロディ,アニソン、サンリオ,
こいのうた,北白川たまこ (CV.洲崎綾),たまこラブストーリー,アニソン,
ゴーゴー幽霊船,米津玄師,,J-POP,
ゴキゲンParty Night,三村かな子、輿水幸子、佐久間まゆ、緒方智絵里、小早川紗枝、川島瑞樹、白坂小梅、アナスタシア、神谷奈緒、北条加蓮、十時愛梨、日野茜、高森藍子、星輝子、堀裕子,アイドルマスター シンデレラガールズ,アイマス、デレマス,
ゴクドルミュージック,ゴクドルズ虹組,Back Street Girls -ゴクドルズ-,アニソン,
